,Technologies,Error Type,Value
0,Ads - AdSense,contrast,62.94270991209457
1,Ads - AdSense,alt_area_missing,0.030511638295496243
2,Ads - AdSense,alt_input_missing,0.046026706657519824
3,Ads - AdSense,alt_link_missing,14.703993235589731
4,Ads - AdSense,alt_map_missing,0.014589748089532712
5,Ads - AdSense,alt_missing,7.1735374355865416
6,Ads - AdSense,alt_spacer_missing,0.9754550820822897
7,Ads - AdSense,aria_reference_broken,0.39828656211611174
8,Ads - AdSense,blink,0.001419888004339433
9,Ads - AdSense,button_empty,0.8669213956382317
10,Ads - AdSense,heading_empty,0.3336896348175683
11,Ads - AdSense,label_empty,0.15122604936105039
12,Ads - AdSense,label_missing,2.348399036390613
13,Ads - AdSense,label_multiple,0.11512260493610504
14,Ads - AdSense,language_missing,0.3169062395303202
15,Ads - AdSense,link_empty,10.335516344665848
16,Ads - AdSense,link_skip_broken,0.017676807964135864
17,Ads - AdSense,longdesc_invalid,0.018075652909175028
18,Ads - AdSense,marquee,0.013776104401652814
19,Ads - AdSense,meta_refresh,0.01905681147397138
20,Ads - AdSense,server_image_map,0.0
21,Ads - AdSense,th_empty,0.04842775322665561
22,Ads - AdSense,title_invalid,0.024648617603420495
23,Ads - DoubleClick,contrast,56.72043879734806
24,Ads - DoubleClick,alt_area_missing,0.03404720214310301
25,Ads - DoubleClick,alt_input_missing,0.05296397731184244
26,Ads - DoubleClick,alt_link_missing,12.565886948323081
27,Ads - DoubleClick,alt_map_missing,0.016342657028689443
28,Ads - DoubleClick,alt_missing,8.295260330145616
29,Ads - DoubleClick,alt_spacer_missing,1.1237073287537975
30,Ads - DoubleClick,aria_reference_broken,0.6458492344991694
31,Ads - DoubleClick,blink,0.0016312725422409793
32,Ads - DoubleClick,button_empty,1.2422364896212155
33,Ads - DoubleClick,heading_empty,0.41586973764947094
34,Ads - DoubleClick,label_empty,0.23532228857061613
35,Ads - DoubleClick,label_missing,2.7949834627875303
36,Ads - DoubleClick,label_multiple,0.17943997964650774
37,Ads - DoubleClick,language_missing,0.3029228213532079
38,Ads - DoubleClick,link_empty,11.394333946931262
39,Ads - DoubleClick,link_skip_broken,0.025950702644457414
40,Ads - DoubleClick,longdesc_invalid,0.01894670677501908
41,Ads - DoubleClick,marquee,0.009263832143551984
42,Ads - DoubleClick,meta_refresh,0.03115880213711669
43,Ads - DoubleClick,server_image_map,0.0
44,Ads - DoubleClick,th_empty,0.06300603121866535
45,Ads - DoubleClick,title_invalid,0.005342791720917703
46,Ads - Criteo,contrast,53.44331097447363
47,Ads - Criteo,alt_area_missing,0.05370784423327744
48,Ads - Criteo,alt_input_missing,0.047559157816284704
49,Ads - Criteo,alt_link_missing,8.62064468045463
50,Ads - Criteo,alt_map_missing,0.024082355133221538
51,Ads - Criteo,alt_missing,8.383966834358114
52,Ads - Criteo,alt_spacer_missing,1.1713247624371157
53,Ads - Criteo,aria_reference_broken,1.2023476802683064
54,Ads - Criteo,blink,0.000931619154089808
55,Ads - Criteo,button_empty,1.6866964784795975
56,Ads - Criteo,heading_empty,0.55072666294019
57,Ads - Criteo,label_empty,0.5273430221725358
58,Ads - Criteo,label_missing,3.9653903484255637
59,Ads - Criteo,label_multiple,0.5333985466741196
60,Ads - Criteo,language_missing,0.20467672815353083
61,Ads - Criteo,link_empty,12.537637413825228
62,Ads - Criteo,link_skip_broken,0.022358859698155393
63,Ads - Criteo,longdesc_invalid,0.05636295882243339
64,Ads - Criteo,marquee,0.005589714924538848
65,Ads - Criteo,meta_refresh,0.023243897894540712
66,Ads - Criteo,server_image_map,0.0
67,Ads - Criteo,th_empty,0.03908142351406745
68,Ads - Criteo,title_invalid,0.0037730575740637226
69,Ads - Prebid,contrast,51.975056203832565
70,Ads - Prebid,alt_area_missing,0.023605609677764695
71,Ads - Prebid,alt_input_missing,0.03607750776148164
72,Ads - Prebid,alt_link_missing,11.374745744566964
73,Ads - Prebid,alt_map_missing,0.010705491917353602
74,Ads - Prebid,alt_missing,9.920565249973237
75,Ads - Prebid,alt_spacer_missing,1.5594690076008992
76,Ads - Prebid,aria_reference_broken,0.6203297291510544
77,Ads - Prebid,blink,0.0006423295150412161
78,Ads - Prebid,button_empty,1.2771651857402848
79,Ads - Prebid,heading_empty,0.47623380794347503
80,Ads - Prebid,label_empty,0.19029011883096028
81,Ads - Prebid,label_missing,3.0787388930521358
82,Ads - Prebid,label_multiple,0.27753987795739216
83,Ads - Prebid,language_missing,0.20784712557542018
84,Ads - Prebid,link_empty,13.246386896477894
85,Ads - Prebid,link_skip_broken,0.022160368268921957
86,Ads - Prebid,longdesc_invalid,0.010919601755700675
87,Ads - Prebid,marquee,0.00594154801413125
88,Ads - Prebid,meta_refresh,0.047585911572636766
89,Ads - Prebid,server_image_map,0.0
90,Ads - Prebid,th_empty,0.03645219997858901
91,Ads - Prebid,title_invalid,0.005995075473718017
92,Ads - AppNexus,contrast,49.778841403162055
93,Ads - AppNexus,alt_area_missing,0.029891304347826088
94,Ads - AppNexus,alt_input_missing,0.037858201581027665
95,Ads - AppNexus,alt_link_missing,10.721529150197629
96,Ads - AppNexus,alt_map_missing,0.007411067193675889
97,Ads - AppNexus,alt_missing,10.455348320158103
98,Ads - AppNexus,alt_spacer_missing,2.3800642292490117
99,Ads - AppNexus,aria_reference_broken,0.9886363636363636
100,Ads - AppNexus,blink,0.00012351778656126481
101,Ads - AppNexus,button_empty,1.3379446640316206
102,Ads - AppNexus,heading_empty,0.4945652173913043
103,Ads - AppNexus,label_empty,0.3199110671936759
104,Ads - AppNexus,label_missing,3.5292119565217392
105,Ads - AppNexus,label_multiple,0.392971837944664
106,Ads - AppNexus,language_missing,0.18601778656126483
107,Ads - AppNexus,link_empty,11.301692193675889
108,Ads - AppNexus,link_skip_broken,0.026309288537549408
109,Ads - AppNexus,longdesc_invalid,0.01049901185770751
110,Ads - AppNexus,marquee,0.002717391304347826
111,Ads - AppNexus,meta_refresh,0.020565711462450592
112,Ads - AppNexus,server_image_map,0.0
113,Ads - AppNexus,th_empty,0.06182065217391304
114,Ads - AppNexus,title_invalid,0.003458498023715415
115,Ads - AdRoll,contrast,35.92880969815312
