,Error,Alert,Value
0,contrast,accesskey,0.10411441378942313
1,contrast,alt_duplicate,0.5325079602255546
2,contrast,alt_long,0.3286906096020777
3,contrast,alt_redundant,0.7727555721578881
4,contrast,alt_suspicious,0.40806161837166693
5,contrast,applet,0.00030239963000515857
6,contrast,audio_video,0.029759681235213546
7,contrast,event_handler,1.287386377786079
8,contrast,fieldset_missing,0.03532739207001441
9,contrast,flash,0.04302968852838109
10,contrast,h1_missing,0.19031609655442303
11,contrast,heading_missing,0.3012611843392568
12,contrast,heading_possible,0.3011010904174894
13,contrast,heading_skipped,0.40139103829802375
14,contrast,javascript_jumpmenu,0.03678602557945106
15,contrast,label_orphaned,0.26029492858032266
16,contrast,label_title,0.08275076934023516
17,contrast,legend_missing,0.05967945639219453
18,contrast,link_document,0.0010495045982531973
19,contrast,link_excel,0.0030595727271110163
20,contrast,link_internal_broken,0.26086415141327357
21,contrast,link_pdf,0.36725545653450026
22,contrast,link_powerpoint,0.0012985395876692104
23,contrast,link_redundant,6.167867371079923
24,contrast,link_suspicious,0.6456409982745432
25,contrast,link_word,0.008058060728960991
26,contrast,noscript,0.8859775512745255
27,contrast,plugin,0.014888734724371631
28,contrast,tabindex,0.23770389739758435
29,contrast,table_caption_possible,0.003948983403596777
30,contrast,text_small,0.4638098795737944
31,contrast,title_redundant,6.371506839568102
32,contrast,underline,0.27205293772346445
33,contrast,text_justified,1.3461230588611985
34,alt_area_missing,accesskey,0.08689156247542659
35,alt_area_missing,alt_duplicate,1.1428009750727373
36,alt_area_missing,alt_long,0.32295352677518285
37,alt_area_missing,alt_redundant,2.0759613116301012
38,alt_area_missing,alt_suspicious,0.7588267673193363
39,alt_area_missing,applet,0.008492569002123142
40,alt_area_missing,audio_video,0.03947471888023905
41,alt_area_missing,event_handler,4.059998427302037
42,alt_area_missing,fieldset_missing,0.07729810489895415
43,alt_area_missing,flash,0.21467327199811276
44,alt_area_missing,h1_missing,0.24306047023669106
45,alt_area_missing,heading_missing,0.25878744987025243
46,alt_area_missing,heading_possible,0.6862467563104506
47,alt_area_missing,heading_skipped,0.7033105292128646
48,alt_area_missing,javascript_jumpmenu,0.13768970669182984
49,alt_area_missing,label_orphaned,0.780136824722812
50,alt_area_missing,label_title,0.1350161201541244
51,alt_area_missing,legend_missing,0.1155146654085083
52,alt_area_missing,link_document,0.0005504442871746481
53,alt_area_missing,link_excel,0.06322245812691672
54,alt_area_missing,link_internal_broken,0.5780451364315483
55,alt_area_missing,link_pdf,0.7234410631438233
56,alt_area_missing,link_powerpoint,0.0020445073523629787
57,alt_area_missing,link_redundant,12.741133915231579
58,alt_area_missing,link_suspicious,1.2204922544625305
