,Technologies,Alert Type,Value
0,Ads - AdSense,accesskey,0.1446690384646065
1,Ads - AdSense,alt_duplicate,1.1299277292959589
2,Ads - AdSense,alt_long,0.9870534930840287
3,Ads - AdSense,alt_redundant,2.789856575357764
4,Ads - AdSense,alt_suspicious,0.6595220242178651
5,Ads - AdSense,applet,0.0001515610791148833
6,Ads - AdSense,audio_video,0.05421100492972352
7,Ads - AdSense,event_handler,2.236794243869753
8,Ads - AdSense,fieldset_missing,0.10638790063974729
9,Ads - AdSense,flash,0.07257382619932674
10,Ads - AdSense,h1_missing,0.2859319410985785
11,Ads - AdSense,heading_missing,0.08994751200523285
12,Ads - AdSense,heading_possible,0.3034093265901948
13,Ads - AdSense,heading_skipped,1.265957786251017
14,Ads - AdSense,javascript_jumpmenu,0.09046601043378376
15,Ads - AdSense,label_orphaned,0.5409055375632169
16,Ads - AdSense,label_title,0.24859207734401173
17,Ads - AdSense,legend_missing,0.15476779247299818
18,Ads - AdSense,link_document,0.00023930696702349993
19,Ads - AdSense,link_excel,0.0023531851757310827
20,Ads - AdSense,link_internal_broken,0.43825880250793703
21,Ads - AdSense,link_pdf,0.19460442558351015
22,Ads - AdSense,link_powerpoint,0.0007657822944751999
23,Ads - AdSense,link_redundant,22.00387677286578
24,Ads - AdSense,link_suspicious,1.9864312949697676
25,Ads - AdSense,link_word,0.004961631116287232
26,Ads - AdSense,noscript,2.506221981142611
27,Ads - AdSense,plugin,0.03277707758331871
28,Ads - AdSense,tabindex,0.6774221853512229
29,Ads - AdSense,table_caption_possible,0.010537483447934782
30,Ads - AdSense,text_small,2.4991704025143187
31,Ads - AdSense,title_redundant,20.73604441537308
32,Ads - AdSense,underline,0.7275649718415469
33,Ads - AdSense,text_justified,4.362358609466984
34,Ads - DoubleClick,accesskey,0.21844086262889298
35,Ads - DoubleClick,alt_duplicate,1.210538918571065
36,Ads - DoubleClick,alt_long,1.123333183675302
37,Ads - DoubleClick,alt_redundant,3.0411858902407998
38,Ads - DoubleClick,alt_suspicious,0.8214579685418818
39,Ads - DoubleClick,applet,0.00020952124395755698
40,Ads - DoubleClick,audio_video,0.04829464673221688
41,Ads - DoubleClick,event_handler,2.5193433005582246
42,Ads - DoubleClick,fieldset_missing,0.14546760651910384
43,Ads - DoubleClick,flash,0.07252428201559437
44,Ads - DoubleClick,h1_missing,0.31085469701731544
45,Ads - DoubleClick,heading_missing,0.07725347580777922
46,Ads - DoubleClick,heading_possible,0.3906972567682845
47,Ads - DoubleClick,heading_skipped,1.5527918705757344
48,Ads - DoubleClick,javascript_jumpmenu,0.09941783025786079
49,Ads - DoubleClick,label_orphaned,0.7056825154521917
50,Ads - DoubleClick,label_title,0.2555111570062407
51,Ads - DoubleClick,legend_missing,0.25693290830452414
52,Ads - DoubleClick,link_document,0.00019455544081773148
53,Ads - DoubleClick,link_excel,0.0018707253924781873
54,Ads - DoubleClick,link_internal_broken,0.5032101647734926
55,Ads - DoubleClick,link_pdf,0.2334814947844176
56,Ads - DoubleClick,link_powerpoint,0.0006135979287328454
